Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/02/2025,"Online Transfer to SAV ...6216 transaction#: 24969441699 06/02",-2000.00,ACCT_XFER,6299.32,,
DEBIT,06/02/2025,"CITI AUTOPAY     PAYMENT    291710659690042 WEB ID: CITICARDAP",-455.76,ACH_DEBIT,8299.32,,
DEBIT,05/30/2025,"Zelle payment to THOMAS JPM99ba7jzma",-700.00,CHASE_TO_PARTNERFI,8755.08,,
DEBIT,05/30/2025,"Zelle payment to Lng nht Huy 24937508046",-10.00,QUICKPAY_DEBIT,9455.08,,
CREDIT,05/30/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.18,ACH_CREDIT,9465.08,,
CREDIT,05/28/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",4998.00,MISC_CREDIT,7587.90,,
DEBIT,05/27/2025,"Payment to Chase card ending in 8045 05/27",-15.06,LOAN_PMT,2589.90,,
DEBIT,05/27/2025,"Zelle payment to PHUONG 24903756115",-2000.00,QUICKPAY_DEBIT,2604.96,,
DEBIT,05/27/2025,"Zelle payment to ALEX 24903278085",-1000.00,QUICKPAY_DEBIT,4604.96,,
DEBIT,05/27/2025,"Zelle payment to EIMON JPM99b9r2fqo",-620.00,CHASE_TO_PARTNERFI,5604.96,,
DEBIT,05/27/2025,"Zelle payment to JUSTIN JPM99b9n6l21",-20.00,CHASE_TO_PARTNERFI,6224.96,,
CREDIT,05/27/2025,"Online Transfer from SAV ...6216 transaction#: 24903737819",2000.46,ACCT_XFER,6244.96,,
DEBIT,05/23/2025,"PAYPAL           INST XFER  JHARTWELL       WEB ID: PAYPALSI77",-300.00,MISC_DEBIT,4244.50,,
DEBIT,05/21/2025,"Payment to Chase card ending in 8045 05/21",-193.04,LOAN_PMT,4544.50,,
DEBIT,05/19/2025,"Zelle payment to JUAN RAMOS 24806113240",-190.00,QUICKPAY_DEBIT,4737.54,,
DEBIT,05/16/2025,"Zelle payment to PAWARISORN JPM99b8m6l3z",-800.00,CHASE_TO_PARTNERFI,4927.54,,
CREDIT,05/16/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1000.00,MISC_CREDIT,5727.54,,
CREDIT,05/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,4727.54,,
DEBIT,05/13/2025,"Payment to Chase card ending in 8045 05/13",-60.70,LOAN_PMT,2850.35,,
DEBIT,05/12/2025,"Zelle payment to WEST 24745764951",-1500.00,QUICKPAY_DEBIT,2911.05,,
DEBIT,05/12/2025,"Zelle payment to TSUU LLC 24724303401",-200.00,QUICKPAY_DEBIT,4411.05,,
DEBIT,05/09/2025,"TARGET DEBIT CRD ACH TRAN   000002291606144 POS ID: 6510215171",-27.97,ACH_DEBIT,4611.05,,
DEBIT,05/07/2025,"Payment to Chase card ending in 0687 05/07",-256.29,LOAN_PMT,4639.02,,
DEBIT,05/07/2025,"Payment to Chase card ending in 8045 05/07",-24.07,LOAN_PMT,4895.31,,
DEBIT,05/01/2025,"CITI AUTOPAY     PAYMENT    291684745150306 WEB ID: CITICARDAP",-526.84,ACH_DEBIT,4919.38,,
DEBIT,04/30/2025,"Zelle payment to KIET 24594108743",-8.33,QUICKPAY_DEBIT,5446.22,,
DEBIT,04/30/2025,"Payment to Chase card ending in 0687 04/30",-115.66,LOAN_PMT,5454.55,,
CREDIT,04/30/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2259.97,ACH_CREDIT,5570.21,,
DEBIT,04/29/2025,"Zelle payment to Gus JPM99b6ic6vg",-435.00,CHASE_TO_PARTNERFI,3310.24,,
DEBIT,04/28/2025,"Zelle payment to PHUONG 24562306530",-1500.00,QUICKPAY_DEBIT,3745.24,,
DEBIT,04/25/2025,"Payment to Chase card ending in 0687 04/25",-62.07,LOAN_PMT,5245.24,,
CREDIT,04/22/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",955.00,MISC_CREDIT,5307.31,,
DEBIT,04/21/2025,"Zelle payment to DAN WINN JPM99b5kg14h",-80.00,CHASE_TO_PARTNERFI,4352.31,,
DEBIT,04/21/2025,"Zelle payment to THI NGUYEN JPM99b5kbz9t",-140.00,CHASE_TO_PARTNERFI,4432.31,,
DEBIT,04/21/2025,"Zelle payment to Huy Tran JPM99b5hx1qi",-1360.00,CHASE_TO_PARTNERFI,4572.31,,
CREDIT,04/21/2025,"Zelle payment from Tin Nguyen COFWUE51VX48",1400.00,PARTNERFI_TO_CHASE,5932.31,,
DEBIT,04/18/2025,"Payment to Chase card ending in 8045 04/18",-10.05,LOAN_PMT,4532.31,,
DEBIT,04/18/2025,"Payment to Chase card ending in 0687 04/18",-189.12,LOAN_PMT,4542.36,,
DEBIT,04/16/2025,"Zelle payment to KEVIN LOPEZ JPM99b52yz59",-330.00,CHASE_TO_PARTNERFI,4731.48,,
DEBIT,04/16/2025,"Payment to Chase card ending in 8045 04/16",-313.91,LOAN_PMT,5061.48,,
CREDIT,04/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2259.99,ACH_CREDIT,5375.39,,
DEBIT,04/14/2025,"TapTap Send US 833-9160670 DE                04/13",-1501.00,DEBIT_CARD,3115.40,,
DEBIT,04/08/2025,"Online RealTime payment to Robinhood Securities transaction#: 5834615 REFERENCE#:7005834615RX 04/08",-1100.00,BILLPAY,4616.40,,
DEBIT,04/07/2025,"Zelle payment to RO CHEY POKEDECKS, LLC. 24314733038",-500.00,QUICKPAY_DEBIT,5716.40,,
DEBIT,04/07/2025,"Zelle payment to RO CHEY POKEDECKS, LLC. 24314683525",-700.00,QUICKPAY_DEBIT,6216.40,,
CREDIT,04/07/2025,"Zelle payment from Tin Nguyen COF9F3MSGUSD",1000.00,PARTNERFI_TO_CHASE,6916.40,,
DEBIT,04/04/2025,"Online RealTime payment to Robinhood Securities transaction#: 5745989 REFERENCE#:7005745989RX 04/04",-2000.00,BILLPAY,5916.40,,
DEBIT,04/03/2025,"Online RealTime payment to Robinhood Securities transaction#: 5712060 REFERENCE#:7005712060RX 04/03",-2000.00,BILLPAY,7916.40,,
DEBIT,04/01/2025,"CITI AUTOPAY     PAYMENT    291658834450133 WEB ID: CITICARDAP",-148.45,ACH_DEBIT,9916.40,,
CREDIT,04/01/2025,"Zelle payment from TIN NGUYEN BACmmhhm9vx8",982.68,PARTNERFI_TO_CHASE,10064.85,,
DEBIT,03/31/2025,"PAYPAL *Nguyen Tin Visa Direct CA            03/30",-25.00,DEBIT_CARD,9082.17,,
CREDIT,03/31/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2259.97,ACH_CREDIT,9107.17,,
DEBIT,03/27/2025,"Payment to Chase card ending in 8045 03/27",-46.96,LOAN_PMT,6847.20,,
CREDIT,03/27/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",2000.00,MISC_CREDIT,6894.16,,
DEBIT,03/26/2025,"Zelle payment to A Huynh.FUSA JPM99b2kegn5",-3000.00,CHASE_TO_PARTNERFI,4894.16,,
DEBIT,03/25/2025,"TapTap Send US 833-9160670 DE                03/24",-601.00,DEBIT_CARD,7894.16,,
DEBIT,03/24/2025,"Payment to Chase card ending in 0687 03/24",-137.32,LOAN_PMT,8495.16,,
DEBIT,03/21/2025,"Zelle payment to KIET 24126163604",-12.00,QUICKPAY_DEBIT,8632.48,,
DEBIT,03/19/2025,"Zelle payment to ADAM CISNEROS 24103928657",-150.00,QUICKPAY_DEBIT,8644.48,,
DEBIT,03/14/2025,"Zelle payment to KIET 24045990327",-20.00,QUICKPAY_DEBIT,8794.48,,
CREDIT,03/14/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2259.98,ACH_CREDIT,8814.48,,
CREDIT,03/14/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",3000.00,MISC_CREDIT,6554.50,,
DEBIT,03/13/2025,"Zelle payment to THI RU TO JPM99b15qerr",-1500.00,CHASE_TO_PARTNERFI,3554.50,,
CREDIT,03/13/2025,"Zelle payment from Tin Nguyen COFPF9Y9LSE4",2000.00,PARTNERFI_TO_CHASE,5054.50,,
DEBIT,03/11/2025,"ROBINHOOD SECURITIES ROBINHOOD.COM FL        03/10",-2000.00,DEBIT_CARD,3054.50,,
DEBIT,03/10/2025,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-14.45,ACH_DEBIT,5054.50,,
DEBIT,03/10/2025,"Zelle payment to CO BA BUN BO LLC JPM99b0u0xvx",-99.86,CHASE_TO_PARTNERFI,5068.95,,
DEBIT,03/10/2025,"Zelle payment to DAN WINN JPM99b0tvdvq",-20.00,CHASE_TO_PARTNERFI,5168.81,,
DEBIT,03/10/2025,"Zelle payment to CALVIN CHOU 23998347948",-500.00,QUICKPAY_DEBIT,5188.81,,
DEBIT,03/10/2025,"Zelle payment to BRANDON 23997949123",-250.00,QUICKPAY_DEBIT,5688.81,,
DEBIT,03/10/2025,"Zelle payment to KYLE JPM99b0pxacs",-1100.00,CHASE_TO_PARTNERFI,5938.81,,
DEBIT,03/10/2025,"Zelle payment to KYLE JPM99b0pww8z",-100.00,CHASE_TO_PARTNERFI,7038.81,,
DEBIT,03/10/2025,"Zelle payment to PHAN NGUYEN JPM99b0o0cwh",-18.00,CHASE_TO_PARTNERFI,7138.81,,
DEBIT,03/06/2025,"Payment to Chase card ending in 0687 03/06",-951.21,LOAN_PMT,7156.81,,
DEBIT,03/06/2025,"Payment to Chase card ending in 8045 03/06",-127.56,LOAN_PMT,8108.02,,
DEBIT,03/05/2025,"Zelle payment to ALEXANDER JPM99b0an3dh",-100.00,CHASE_TO_PARTNERFI,8235.58,,
DEBIT,03/04/2025,"Zelle payment to KIET 23933603258",-17.17,QUICKPAY_DEBIT,8335.58,,
DEBIT,03/03/2025,"CITI AUTOPAY     PAYMENT    291632075290381 WEB ID: CITICARDAP",-199.45,ACH_DEBIT,8352.75,,
DEBIT,03/03/2025,"PAYPAL           INST XFER  SANCHEZ11DURAN  WEB ID: PAYPALSI77",-410.00,MISC_DEBIT,8552.20,,
CREDIT,02/28/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2259.96,ACH_CREDIT,8962.20,,
DEBIT,02/26/2025,"Zelle payment to Tin Nguyen JPM99azfcwp1",-2200.00,CHASE_TO_PARTNERFI,6702.24,,
DEBIT,02/24/2025,"Zelle payment to PAWARISORN JPM99az1mrpu",-280.00,CHASE_TO_PARTNERFI,8902.24,,
DEBIT,02/21/2025,"Payment to Chase card ending in 0687 02/21",-160.84,LOAN_PMT,9182.24,,
DEBIT,02/21/2025,"Zelle payment to Khanh JPM99ayw6c4h",-1000.00,CHASE_TO_PARTNERFI,9343.08,,
DEBIT,02/21/2025,"Zelle payment to Khanh JPM99ayw6akq",-400.00,CHASE_TO_PARTNERFI,10343.08,,
CREDIT,02/21/2025,"Zelle payment from TIN NGUYEN BACj1e3b635w",2222.90,PARTNERFI_TO_CHASE,10743.08,,
DEBIT,02/18/2025,"Payment to Chase card ending in 8045 02/18",-3033.45,LOAN_PMT,8520.18,,
DEBIT,02/18/2025,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-14.82,ACH_DEBIT,11553.63,,
CREDIT,02/14/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2260.00,ACH_CREDIT,11568.45,,
DEBIT,02/10/2025,"Payment to Chase card ending in 8045 02/10",-501.59,LOAN_PMT,9308.45,,
DEBIT,02/03/2025,"CITI AUTOPAY     PAYMENT    291607878180101 WEB ID: CITICARDAP",-831.17,ACH_DEBIT,9810.04,,
CREDIT,01/31/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2259.97,ACH_CREDIT,10641.21,,
DEBIT,01/27/2025,"TARGET DEBIT CRD ACH TRAN   000689526120290 POS ID: 1410215170",-1.25,ACH_DEBIT,8381.24,,
DEBIT,01/23/2025,"Wise Inc         WISE       TrnWise         WEB ID: 9453233521",-130.21,MISC_DEBIT,8382.49,,
DEBIT,01/21/2025,"Payment to Chase card ending in 8045 01/21",-94.26,LOAN_PMT,8512.70,,
DEBIT,01/21/2025,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-4.70,ACH_DEBIT,8606.96,,
DEBIT,01/21/2025,"Zelle payment to PAWARISORN JPM99avgg4pm",-200.00,CHASE_TO_PARTNERFI,8611.66,,
DEBIT,01/21/2025,"Zelle payment to Gia Huy Doan 23434817370",-2000.00,QUICKPAY_DEBIT,8811.66,,
DEBIT,01/21/2025,"WITHDRAWAL 01/21",-4000.00,MISC_DEBIT,10811.66,,
DEBIT,01/17/2025,"Zelle payment to Tin Nguyen JPM99av8c2em",-2000.00,CHASE_TO_PARTNERFI,14811.66,,
DEBIT,01/17/2025,"Zelle payment to Gia Huy Doan 23420728021",-1000.00,QUICKPAY_DEBIT,16811.66,,
DEBIT,01/17/2025,"Zelle payment to Gia Huy Doan 23420429000",-2000.00,QUICKPAY_DEBIT,17811.66,,
CREDIT,01/17/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",13409.08,ACH_CREDIT,19811.66,,
DEBIT,01/15/2025,"Zelle payment to PAWARISORN JPM99auyns6a",-365.00,CHASE_TO_PARTNERFI,6402.58,,
CREDIT,01/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2259.98,ACH_CREDIT,6767.58,,
DEBIT,01/14/2025,"Zelle payment to Derek 23382222228",-350.00,QUICKPAY_DEBIT,4507.60,,
DEBIT,01/13/2025,"Payment to Chase card ending in 0687 01/13",-27.73,LOAN_PMT,4857.60,,
DEBIT,01/13/2025,"PAYPAL *Nguyen Tin Visa Direct CA            01/13",-193.70,DEBIT_CARD,4885.33,,
DEBIT,01/13/2025,"Zelle payment to NORMAN LAI 23359972718",-245.00,QUICKPAY_DEBIT,5079.03,,
DEBIT,01/13/2025,"Zelle payment to JASMINE AMBRIZ JPM99aumjbt5",-130.00,CHASE_TO_PARTNERFI,5324.03,,
DEBIT,01/13/2025,"Zelle payment to LEE 23356669781",-190.00,QUICKPAY_DEBIT,5454.03,,
DEBIT,01/13/2025,"Zelle payment to SEBASTIAN JPM99aulrs1h",-190.00,CHASE_TO_PARTNERFI,5644.03,,
DEBIT,01/13/2025,"Zelle payment to JASON JPM99aulqqgb",-130.00,CHASE_TO_PARTNERFI,5834.03,,
DEBIT,01/13/2025,"Zelle payment to WENHAN JI JPM99aulqff6",-305.00,CHASE_TO_PARTNERFI,5964.03,,
DEBIT,01/13/2025,"Zelle payment to JORDAN 23356449079",-150.00,QUICKPAY_DEBIT,6269.03,,
DEBIT,01/13/2025,"Zelle payment to CARLOS 23356342428",-260.00,QUICKPAY_DEBIT,6419.03,,
DEBIT,01/13/2025,"Zelle payment to AARON JPM99auljzae",-235.00,CHASE_TO_PARTNERFI,6679.03,,
DEBIT,01/13/2025,"Zelle payment to AUSTIN K JPM99auli0cc",-210.00,CHASE_TO_PARTNERFI,6914.03,,
DEBIT,01/13/2025,"Zelle payment to BENJAMIN HARRISON 23352037041",-10.00,QUICKPAY_DEBIT,7124.03,,
DEBIT,01/13/2025,"Zelle payment to BENJAMIN HARRISON 23352029153",-250.00,QUICKPAY_DEBIT,7134.03,,
DEBIT,01/07/2025,"Zelle payment to Reid Poke 23310529849",-535.00,QUICKPAY_DEBIT,7384.03,,
DEBIT,01/02/2025,"CITI AUTOPAY     PAYMENT    291581093920162 WEB ID: CITICARDAP",-262.42,ACH_DEBIT,7919.03,,
DEBIT,12/31/2024,"WITHDRAWAL 12/31",-1000.00,MISC_DEBIT,8181.45,,
DEBIT,12/31/2024,"Zelle payment to NANCY 23235448701",-323.37,QUICKPAY_DEBIT,9181.45,,
CREDIT,12/31/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.23,ACH_CREDIT,9504.82,,
DEBIT,12/30/2024,"Payment to Chase card ending in 8045 12/30",-413.09,LOAN_PMT,7237.59,,
DEBIT,12/30/2024,"Payment to Chase card ending in 6049 12/30",-244.89,LOAN_PMT,7650.68,,
DEBIT,12/30/2024,"Payment to Chase card ending in 0687 12/30",-35.22,LOAN_PMT,7895.57,,
DEBIT,12/27/2024,"Zelle payment to Alessandro Ginez JPM99atopipz",-50.00,CHASE_TO_PARTNERFI,7930.79,,
DEBIT,12/27/2024,"Zelle payment to PHUONG 23182701523",-2000.00,QUICKPAY_DEBIT,7980.79,,
DEBIT,12/26/2024,"TARGET DEBIT CRD ACH TRAN   000689526120228 WEB ID: 1410215170",-50.00,ACH_DEBIT,9980.79,,
DEBIT,12/26/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 WEB ID: 1410215170",-50.00,ACH_DEBIT,10030.79,,
DEBIT,12/26/2024,"Zelle payment to ERICK JPM99atl8727",-1070.00,CHASE_TO_PARTNERFI,10080.79,,
DEBIT,12/26/2024,"Zelle payment to GERARDO 23168835755",-200.00,QUICKPAY_DEBIT,11150.79,,
DEBIT,12/23/2024,"Zelle payment to STEPHEN 23154856002",-300.00,QUICKPAY_DEBIT,11350.79,,
DEBIT,12/23/2024,"TARGET DEBIT CRD ACH TRAN   000689526123991 WEB ID: TPPSTRIPE1",-61.93,ACH_DEBIT,11650.79,,
DEBIT,12/23/2024,"Zelle payment to BRYAN JPM99ate289p",-200.00,CHASE_TO_PARTNERFI,11712.72,,
DEBIT,12/23/2024,"Zelle payment to BRYAN JPM99ate2c12",-900.00,CHASE_TO_PARTNERFI,11912.72,,
DEBIT,12/23/2024,"Zelle payment to BRYAN JPM99ate24tn",-100.00,CHASE_TO_PARTNERFI,12812.72,,
DEBIT,12/23/2024,"Zelle payment to THI RU TO JPM99atdyomk",-500.00,CHASE_TO_PARTNERFI,12912.72,,
DEBIT,12/20/2024,"Zelle payment to Kiran JPM99ata2h78",-40.00,CHASE_TO_PARTNERFI,13412.72,,
DEBIT,12/20/2024,"Zelle payment to FRANK BENITEZ 23109950506",-100.00,QUICKPAY_DEBIT,13452.72,,
DEBIT,12/20/2024,"Zelle payment to MAXWELL SHEKOFF 23109915782",-820.00,QUICKPAY_DEBIT,13552.72,,
DEBIT,12/20/2024,"Zelle payment to Ruben Guzman JPM99at8t3kh",-170.00,CHASE_TO_PARTNERFI,14372.72,,
DEBIT,12/19/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-15.05,ACH_DEBIT,14542.72,,
DEBIT,12/16/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-3.41,ACH_DEBIT,14557.77,,
DEBIT,12/16/2024,"Zelle payment to NANCY 23062896317",-169.95,QUICKPAY_DEBIT,14561.18,,
CREDIT,12/13/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.23,ACH_CREDIT,14731.13,,
DEBIT,12/09/2024,"Online Transfer to SAV ...6216 transaction#: 22986252501 12/09",-4998.67,ACCT_XFER,12463.90,,
DEBIT,12/09/2024,"Zelle payment to PHUONG 22980255446",-1.00,QUICKPAY_DEBIT,17462.57,,
DEBIT,12/05/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-22.91,ACH_DEBIT,17463.57,,
DEBIT,12/05/2024,"APPLE CASH SENT MONE 1INFINITELOOP CA        12/04",-25.00,DEBIT_CARD,17486.48,,
DEBIT,12/03/2024,"PAYPAL *Nguyen Tin Visa Direct CA            12/03",-400.00,DEBIT_CARD,17511.48,,
DEBIT,12/02/2024,"CITI AUTOPAY     PAYMENT    291553446060476 WEB ID: CITICARDAP",-439.04,ACH_DEBIT,17911.48,,
DEBIT,11/29/2024,"Payment to Chase card ending in 0687 11/29",-64.38,LOAN_PMT,18350.52,,
CREDIT,11/27/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.21,ACH_CREDIT,18414.90,,
DEBIT,11/22/2024,"Payment to Chase card ending in 0687 11/22",-95.41,LOAN_PMT,16147.69,,
DEBIT,11/22/2024,"Payment to Chase card ending in 8045 11/22",-917.43,LOAN_PMT,16243.10,,
DEBIT,11/21/2024,"Zelle payment to Gia Huy Doan 22794493551",-16.20,QUICKPAY_DEBIT,17160.53,,
DEBIT,11/19/2024,"Zelle payment to PHUONG 22765484105",-1600.00,QUICKPAY_DEBIT,17176.73,,
CREDIT,11/15/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.24,ACH_CREDIT,18776.73,,
DEBIT,11/12/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-48.40,ACH_DEBIT,16509.49,,
DEBIT,11/04/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-129.00,ACH_DEBIT,16557.89,,
DEBIT,11/04/2024,"Zelle payment to JANUS JPM99aqj9pkw",-1000.00,CHASE_TO_PARTNERFI,16686.89,,
DEBIT,11/04/2024,"Zelle payment to JANUS JPM99aqj9ihf",-350.00,CHASE_TO_PARTNERFI,17686.89,,
DEBIT,11/04/2024,"Payment to Chase card ending in 8045 11/04",-47.04,LOAN_PMT,18036.89,,
DEBIT,11/01/2024,"CITI AUTOPAY     PAYMENT    291528367010181 WEB ID: CITICARDAP",-392.46,ACH_DEBIT,18083.93,,
DEBIT,10/31/2024,"Zelle payment to KEVIN JPM99aqapxnc",-90.00,CHASE_TO_PARTNERFI,18476.39,,
CREDIT,10/31/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.22,ACH_CREDIT,18566.39,,
DEBIT,10/28/2024,"Payment to Chase card ending in 8045 10/28",-2121.83,LOAN_PMT,16299.17,,
DEBIT,10/28/2024,"Zelle payment to PHUONG 22516605096",-2000.00,QUICKPAY_DEBIT,18421.00,,
DEBIT,10/23/2024,"Payment to Chase card ending in 0687 10/23",-161.68,LOAN_PMT,20421.00,,
DEBIT,10/18/2024,"Payment to Chase card ending in 0687 10/18",-130.53,LOAN_PMT,20582.68,,
DEBIT,10/17/2024,"Zelle payment to TRI QUANG TRAN JPM99apipqve",-220.00,CHASE_TO_PARTNERFI,20713.21,,
CREDIT,10/15/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",3637.38,ACH_CREDIT,20933.21,,
DEBIT,10/08/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-10.81,ACH_DEBIT,17295.83,,
DEBIT,10/03/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-122.79,ACH_DEBIT,17306.64,,
DEBIT,10/01/2024,"CITI AUTOPAY     PAYMENT    291501580690134 WEB ID: CITICARDAP",-232.17,ACH_DEBIT,17429.43,,
DEBIT,09/30/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-4.27,ACH_DEBIT,17661.60,,
DEBIT,09/30/2024,"TARGET DEBIT CRD ACH TRAN   000689526120189 WEB ID: 1410215170",-18.01,ACH_DEBIT,17665.87,,
DEBIT,09/30/2024,"Zelle payment to PHUONG 22207545181",-2000.00,QUICKPAY_DEBIT,17683.88,,
DEBIT,09/30/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-51.48,ACH_DEBIT,19683.88,,
CREDIT,09/30/2024,"TARGET DEBIT CRD ACH TRAN                   PPD ID: 1410215170",0.10,ACH_CREDIT,19735.36,,
CREDIT,09/30/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.22,ACH_CREDIT,19735.26,,
DEBIT,09/24/2024,"Payment to Chase card ending in 8045 09/24",-181.23,LOAN_PMT,17468.04,,
DEBIT,09/24/2024,"Payment to Chase card ending in 0687 09/24",-63.24,LOAN_PMT,17649.27,,
DEBIT,09/19/2024,"Zelle payment to TRI QUANG TRAN JPM99any8lea",-160.00,CHASE_TO_PARTNERFI,17712.51,,
DEBIT,09/19/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-83.67,ACH_DEBIT,17872.51,,
CREDIT,09/13/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.22,ACH_CREDIT,17956.18,,
DEBIT,09/09/2024,"Payment to Chase card ending in 8045 09/09",-75.73,LOAN_PMT,15688.96,,
DEBIT,09/09/2024,"Payment to Chase card ending in 0687 09/09",-44.91,LOAN_PMT,15764.69,,
CREDIT,09/09/2024,"Zelle payment from PAWARISORN BOONYUBOL TDP0IPO0LMP7",1000.00,PARTNERFI_TO_CHASE,15809.60,,
DEBIT,09/03/2024,"CITI AUTOPAY     PAYMENT    081474866791884 WEB ID: CITICARDAP",-62.82,ACH_DEBIT,14809.60,,
CREDIT,08/30/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.24,ACH_CREDIT,14872.42,,
CREDIT,08/27/2024,"Zelle payment from PAWARISORN BOONYUBOL TDP0IPCR4Q7Y",1000.00,PARTNERFI_TO_CHASE,12605.18,,
DEBIT,08/22/2024,"Zelle payment to Donnie  Southfloridapkm CALLER 21812659003",-1676.00,QUICKPAY_DEBIT,11605.18,,
DEBIT,08/19/2024,"Payment to Chase card ending in 0687 08/19",-75.49,LOAN_PMT,13281.18,,
DEBIT,08/19/2024,"Payment to Chase card ending in 8045 08/19",-68.81,LOAN_PMT,13356.67,,
DEBIT,08/19/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-19.21,ACH_DEBIT,13425.48,,
DEBIT,08/19/2024,"APPLE CASH SENT MONE 1INFINITELOOP CA        08/17",-289.91,DEBIT_CARD,13444.69,,
CREDIT,08/15/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2267.21,ACH_CREDIT,13734.60,,
DEBIT,08/14/2024,"XOOM             DEBIT OID  29649593        WEB ID: 1770510487",-2212.99,MISC_DEBIT,11467.39,,
DEBIT,08/14/2024,"TARGET DEBIT CRD ACH TRAN   000689526123991 WEB ID: TPPSTRIPE1",-47.51,ACH_DEBIT,13680.38,,
DEBIT,08/09/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-20.09,ACH_DEBIT,13727.89,,
DEBIT,08/08/2024,"Payment to Chase card ending in 8045 08/08",-95.00,LOAN_PMT,13747.98,,
DEBIT,08/07/2024,"Online RealTime payment to Robinhood Securities transaction#: 2336887 REFERENCE#:7002336887RX 08/07",-550.00,BILLPAY,13842.98,,
DEBIT,08/07/2024,"Online RealTime payment to Robinhood Securities transaction#: 2327219 REFERENCE#:7002327219RX 08/07",-150.00,BILLPAY,14392.98,,
DEBIT,08/05/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-4.93,ACH_DEBIT,14542.98,,
DEBIT,08/05/2024,"CITI CARD ONLINE PAYMENT    421450586278387 WEB ID: CITICTP",-414.50,ACH_DEBIT,14547.91,,
DEBIT,08/05/2024,"Zelle payment to JONATHAN CHAO JPM99alfr3pp",-220.00,CHASE_TO_PARTNERFI,14962.41,,
DEBIT,08/02/2024,"Zelle payment to PAWARISORN JPM99alblcgb",-175.00,CHASE_TO_PARTNERFI,15182.41,,
DEBIT,08/02/2024,"CITI AUTOPAY     PAYMENT    081449810880392 WEB ID: CITICARDAP",-176.26,ACH_DEBIT,15357.41,,
DSLIP,08/02/2024,"REMOTE ONLINE DEPOSIT #          1",573.99,CHECK_DEPOSIT,15533.67,1,
DEBIT,08/01/2024,"Online RealTime payment to Robinhood Securities transaction#: 2237393 REFERENCE#:7002237393RX 08/01",-2000.00,BILLPAY,14959.68,,
DEBIT,07/31/2024,"Payment to Chase card ending in 8045 07/31",-349.54,LOAN_PMT,16959.68,,
CREDIT,07/31/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2212.85,ACH_CREDIT,17309.22,,
